answer,correction
mometasonefuroate,mometasone furoate
fluctiform,flutiform
sirdulpa,sirdupla
bisoprplol,bisoprolol
szlbutamol,salbutamol
amittiptyline,amitriptyline
adcal,apcal
lansoptazole,lansoprazole
omeprazolo,omeprazole
domperidome,domperidone
estrodiol,estradiol
ibubrofen,ibuprofen
bedroflumethiazide,bendroflumethiazide
symbicot,symbicort
lansoprezole,lansoprazole
penecillin,penicillin
zelletta,zelleta
omepprazole,omeprazole
lontec,longtec
omperazole,omeprazole
montelukas,montelukast
octasia,octasa
balmeum,balneum
diazipam,diazepam
oestrogen,oestrogel
esomerprazole,esomeprazole
tacrolimnus,tacrolimus
azirhromycin,azithromycin
fixtapost,fixapost
montlukast,montelukast
atorvaststin,atorvastatin
amatadine,amantadine
co_codamol,co-codamol
glicazide,gliclazide
omeorazole,omeprazole
pravasatin,pravastatin
flurate,alurate
diazapam,diazepam
omeprazal,omeprazol
calceous,calceos
fenbrid,fenbid
methanamine,methenamine
epoetin,epoetina
simvaststin,simvastatin
mirtrazapine,mirtazapine
carbocistrine,carbocisteine
omepeazole,omeprazole
sabutamol,salbutamol
beclomestasone,beclometasone
montalukast,montelukast
arenolol,atenolol
hydrocortison,hydrocortisone
levermir,levemir
estadot,estradot
lipotor,lipitor
omeprazale,omeprazole
xapain,zapain
tolerodine,tolterodine
adcal+d3,adcal-d3
tramodol,tramadol
sulpasalazine,sulfasalazine
sylk,silk
ceracette,cerazette
multivitamina,multivitamin
tadanafil,tadalafil
ceterizine,cetirizine
pregabelin,pregabalin
fluoxotine,fluoxetine
asperin,asprin
fluoxentine,fluoxetine
lanzoprazol,lansoprazol
atorvastain,atorvastatin
omerrazole,omeprazole
propranonol,propranolol
prochlorperaxine,prochlorperazine
zolpiderm,zolpidem
oxytertracycline,oxytetracycline
metformim,metformin
jardience,jardiance
cotrimoxazole,co-trimoxazole
omrprazole,omeprazole
amlodipene,amlodipine
bisoprorlol,bisoprolol
colecalcferol,colecalciferol
dihydrocodiene,dihydrocodeine
simvatin,sivatin
clopridogrel,clopidogrel
amlopdipine,amlodipine
citalophram,citalopram
indapamine,indapamide
hipprex,hiprex
azithryomycin,azithromycin
antorvastatin,atorvastatin
eetimibe,ezetimibe
losatin,losatan
femsoston,femoston
ibuproen,ibuprofen
cyanocobalomin,cyanocobalamin
alorvastatin,atorvastatin
forveval,forceval
anastozole,anastrozole
predisolone,prednisolone
spiromax,spirolax
amistriptyline,amitriptyline
presnisolone,prednisolone
valsartin,valsartan
simvistatin,simvastatin
lipitot,lipitor
lanspprazole,lansoprazole
neurofen,nurofen
bendranol,bedranol
rinetec,rinatec
docetaxol,docetaxel
ivarbadine,ivabradine
colecalcciferol,colecalciferol
dousate,docusate
simvasatin,simvastatin
levothyroxibe,levothyroxine
lanzoprazole,lansoprazole
lansoprazolen,lansoprazole
enzetimibe,ezetimibe
jardinance,jardiance
amlodopin,amlodipin
ventilin,ventolin
sspirin,aspirin
dermol,dermal
aplodipine,amlodipine
beclometasome,beclometasone
doxszosin,doxazosin
fostsir,fostair
perfenidone,pirfenidone
letrosol,letrozol
beciometasone,beclometasone
atorvatstatin,atorvastatin
canagliflozi,canagliflozin
spirva,spiriva
atorvastartin,atorvastatin
betamthasone,betamethasone
amyitriptyline,amitriptyline
becanase,beconase
zopliclone,zopiclone
amitiptyline,amitriptyline
lansiprazole,lansoprazole
bisopropol,bisoprolol
duloextine,duloxetine
beconaise,beconase
amlodidine,amlodipine
spirivs,spiriva
rosuvasatin,rosuvastatin
adalidmumab,adalimumab
clennil,clenil
diazepom,diazepam
tamulosin,tamsulosin
candistartin,candistatin
levothryroxin,levothyroxin
fexodenadine,fexofenadine
rosuvaststin,rosuvastatin
omeperazole,omeprazole
llansoprazole,lansoprazole
demopressin,desmopressin
duloxatine,duloxetine
bisoproloi,bisoprolol
tibilone,tibolone
omeprrazole,omeprazole
lansopranzole,lansoprazole
lansosprazole,lansoprazole
dihydracodeine,dihydrocodeine
ctalopram,citalopram
omeprezol,omeprazol
esompeprazole,esomeprazole
bisoprosol,bisoprolol
aspirn,aspir
amlodiopine,amlodipine
forcival,forceval
amitriplyline,amitriptyline
quetapine,quetiapine
simavastatin,simvastatin
lansaprazole,lansoprazole
atorvasatin,atorvastatin
ezeterol,ezetrol
lansoprazoie,lansoprazole
hydroxocolbalamin,hydroxocobalamin
hydroxychoroquine,hydroxychloroquine
adacal-d3,adcal-d3
pregabolin,pregabalin
dulixetine,duloxetine
bumetsnide,bumetanide
nebivolo,nebivolol
fluoextine,fluoxetine
calcipqotriol,calcipotriol
linaliptin,linagliptin
amlodipline,amlodipine
emeprazole,omeprazole
dulcalax,dulcolax
bendroflurazide,bendrofluazide
cadesartan,candesartan
dose,nose
diahydrocodeine,dihydrocodeine
lecanidipine,lercanidipine
pregabilin,pregabalin
nitromin,nitramin
meformin,metformin
meberverine,mebeverine
pravasratine,pravastatine
epimax,cepimax
statins,statis
bitatoprost,bimatoprost
bendroflumzide,bendrofluazide
glicizide,glipizide
alfacalcdol,alfacalcidol
amlodiplne,amlodipine
penindopril,perindopril
omeprozol,omeprazol
gadapentine,gabapentine
prednisolne,prednisolone
montelukastt,montelukast
fluitiform,flutiform
foster,fostex
atorastatin,atorvastatin
duloxeteine,duloxetine
flucticasone,fluticasone
fluoroucracil,fluorouracil
emagliflozin,empagliflozin
omeprasole,omeprazole
desosumab,denosumab
ezetarol,ezetrol
testoterone,testosterone
fluticazone,fluticasone
elocan,elocon
levothryroxine,levothyroxine
beconaze,beconase
truspot,trusopt
omoprazole,omeprazole
mitazapine,mirtazapine
candestartan,candesartan
citaloprim,citalopram
singular,singulair
atosvastatin,atorvastatin
fenbuxostat,febuxostat
allopurimol,allopurinol
montelukadt,montelukast
rivaoxaban,rivaroxaban
amplodine,amlodine
ibruprofen,ibuprofen
zormorph,zomorph
montelucast,montelukast
fluoxitine,fluoxetine
osartan,losartan
gliciazide,gliclazide
candersartan,candesartan
cerezette,cerazette
montelukust,montelukast
bendroflumethyazide,bendroflumethiazide
toperamate,topiramate
doxaxosin,doxazosin
fesoterodinr,fesoterodine
lansoperazole,lansoprazole
azaga,azarga
amlodihine,amlodipine
spoilto,spiolto
ventalin,ventolin
esperion,esperson
lansoparazole,lansoprazole
prednisalone,prednisolone
colecaliferol,colecalciferol
tremadol,tramadol
irbersartan,irbesartan
raloxifine,raloxifene
zolodex,zoladex
doxycyline,doxycycline
dutasreride,dutasteride
lantanoprost,latanoprost
lispinopril,lisinopril
citalapram,citalopram
lacidioine,lacidipine
tibalone,tibolone
noresthisterone,norethisterone
inpapamide,indapamide
montelukaste,montelukast
frostair,fostair
spivriva,spiriva
caneston,canesten
omeperazol,omeprazol
exetimibe,ezetimibe
amlodipone,amlodipine
amlodpine,amlodipine
isbesartan,irbesartan
gilclazide,gliclazide
tacrolinus,tacrolimus
hydrocotisone,hydrocortisone
simvstatin,simvastatin
lansoprasol,lansoprazol
duloxotine,duloxetine
talalafil,tadalafil
quar,qvar
lorsartan,losartan
reszolsta,rezolsta
valsarin,valparin
desired,desirel
benrofluazide,bendrofluazide
omeprozole,omeprazole
lansoprasole,lansoprazole
mitrazapine,mirtazapine
bendroflumazide,bendrofluazide
fexonfenadine,fexofenadine
bendroflumethiszide,bendroflumethiazide
lorsatan,losatan
antenolol,atenolol
omeprezole,omeprazole
garfort,ganfort
penicilin,penicillin
losotan,losatan
tramidol,tramadol
cetrben,cetraben
caici-d,calci-d
canestan,canesten
levothyrloxine,levothyroxine
foxiga,forxiga
benzafibrate,bezafibrate
calichew-d3,calcichew-d3
lansoprozol,lansoprazol
accrete3,accrete
cytalopram,citalopram
prednislone,prednisolone
estradoil,estradiol
codiene,codeine
fexofenafine,fexofenadine
budesomide,budesonide
letrazole,letrozole
simvastin,sivastin
clopidogerel,clopidogrel
calicos,callicos
norethistherone,norethisterone
certirizine,cetirizine
salmetrol,salmeterol
quetiepine,quetiapine
disopyamide,disopyramide
cetirizene,cetirizine
citopram,citopam
omperazol,omeprazol
flixatide,flixotide
bimaprost,limaprost
amiodipine,amlodipine
paroxatine,paroxetine
peridopril,perindopril
amlodipihe,amlodipine
lansoprazone,lansoprazole
septrin,separin
metroprolol,metoprolol
certrizine,cetrizine
amiltriptyline,amitriptyline
calcios,calciol
citirizine,cetirizine
desloatadine,desloratadine
amirtiptylin,amitriptylin
amitripyline,amitriptyline
prochloperazine,prochlorperazine
oestogel,oestrogel
trazadone,trazodone
astorvastatin,atorvastatin
calcos,calceos
methrotrexate,methotrexate
tramsulosin,tamsulosin
omprazole,omeprazole
amoxaline,amoxapine
landoprazole,lansoprazole
fluoxatine,fluoxetine
simvatatin,simvastatin
fluoxetaine,fluoxetine
adcald3,adcal-d3
coil,hrt
sidenafil,sildenafil
zolpadem,zolpidem
pentassa,pentasa
clopigogrel,clopidogrel
citalipram,citalopram
amlodapine,amlodipine
amnlodipine,amlodipine
piriteeze,piriteze
lymecyline,lymecycline
valsarten,valsartan
cyclone,dyclone
hyrdrochlorothiazide,hydrochlorothiazide
vismed,viamed
yaltformin,yaltormin
mirabegnon,mirabegron
bendroflumerhiazide,bendroflumethiazide
sumatriptans,sumatriptan
omneprazole,omeprazole
cetiritzine,cetirizine
duloxitine,duloxetine
fluoexetine,fluoxetine
venkafaxine,venlafaxine
fluticsone,fluticasone
bisoproiol,bisoprolol
pregabakin,pregabalin
levothyroxinr,levothyroxine
cetirezine,cetirizine
volterol,voltarol
wafarin,warfarin
cetriizine,cetirizine
medroxyprogerterone,medroxyprogesterone
spironolacone,spironolactone
zapin,zapain
amylodipine,amlodipine
lansprazole,lansoprazole
perindropril,perindopril
bisoprodol,bisoprolol
forstair,fostair
asparin,aspirin
simvastain,simvastatin
amlodi,amlod
levothytoxine,levothyroxine
prednisilone,prednisolone
digioxin,digoxin
fultium-d,fultium-d3
doxadosin,doxazosin
tadafil,tadalfil
monteleukast,montelukast
simvustatin,simvastatin
tipex,lipex
amplodipine,amlodipine
duloxetin,duloxetine
omeprazola,omeprazole
bendroflumenthiazide,bendroflumethiazide
amlodepine,amlodipine
prenisolone,prednisolone
alfad,alfa
atovastatin,atorvastatin
hydrocortizone,hydrocortisone
dapaglifozin,dapagliflozin
trimethorim,trimethoprim
meloxican,meloxicam
elvange,elvanse
nitrofuration,nitrofurantion
sinemets,sinemet
siptagliptine,sitagliptine
angital,angitil
amliodipine,amlodipine
gliclszide,gliclazide
levothryoxine,levothyroxine
bendrofkumethiazide,bendroflumethiazide
ranitidie,ranitidine
topirimate,topiramate
methortrexate,methotrexate
methotexate,methotrexate
levothyrocine,levothyroxine
cervelle,cerelle
citrizine,cetrizine
monetasone,mometasone
paroxitine,paroxetine
lamotigine,lamotrigine
letrezole,letrozole
atrorvastatin,atorvastatin
evolve ha,hyaluronic acid
hempdrops,0
amlidopene,amlodipine
amiltriptaline,amitriptyline
ferrours fumerate,ferrous fumarate
averstatin,atorvastatin
amythryptaline,amitriptyline
predisnolene,prednisolone
meritene,0
ampdopoline,amlodipine
dactacourt,hydrocortisone; miconazole
emaprosole,omeprazole
hormone,hrt
amytryptylinr,amitriptyline
doaxosin,doxazosin
altrorvastain,atorvastatin
renavit,multivitamin
losartum potassium,losartan potassium
lansporasole,lanzoprazole
adcal d,adcal-d3
moodease,st john's wort
nsaid - prn,0
zeletta,desogestrol
occipital nerve block,0
evening promrose,linoleic acid
prochloperizine,prochlorperazine
buthemetasone,betamethasone
ramapil almus,ramipril
lanzaprozole,lanzoprazole
lansaprasol,lanzoprazole
ferritin fumarate,ferrous fumarate
theical d3,adcal-d3
latranapost,latanoprost
steroidfor dle,0
amlodipidine,amlodipine
dapaglifoizin,dapagliflozin
acertretin,acitretin
peppermintcapsules,peppermint
combinecontraceptiverigevidon,hrt
omperszole,omeprazole
adcal-d3 200,adcal-d3
calcichew d3 forte,calcichew-d3
glandosane,carboxymethylcellulose
ant-histamines,0
calcepoyriol oontmemy,calcipotriol
anti cholesterol,0
acreete,vitamin d3
levothyoxine sodium,levothyroxine
baleum plus moisturer,balneum
for flare ups lprednisolone,prednisolone
combinedcontraceptive,hrt
isphagula husk,ispaghula husk
sidefanil,sildenafil
beterhistine,betahistine
opemprazole,omeprazole
bisoprol fumerate,bisoprolol fumarate
adcal d3 2 bd,adcal-d3
lanctusargine,insulin
b12 i njection,vitamin b12
consul modulite,clenil
nebusal nebuliser,sodium chloride
monteleucast,montelukast
lumecare,carbomer
lanzaprazol,lanzoprazole
advasal,advil
entacone 5x,entacapone
septrin forte,trimethoprim; sulfamethoxazole
hrt utrogestan,utrogestan
zemtard,diltiazem
clinitas sodium hyaluronate,hyaluronic acid
evecal,adcal-d3
lanzansaprasol,lansoprazole
vitd with calcium,vitamin
vis med,hyaluronic acid
hrt evorel 75,estradiol; norethisterone
lansaprosol,lanzoprazole
colestyraminepowder,cholestyramine
hrt evorel conti,estradiol; norethisterone
atoravasatin,atorvastatin
hyloforte,hyaluronic acid
sublingual vitamin b12,vitamin
bisporol,bisoprolol
bisoprol,bisoprolol
forstair 100,fostair
bendroflumeiazide,bendroflumethiazide
velefaxine,venlafaxine
lisinprosil,lisinopril
evening promise,0
ativorstatin,atorvastatin
lansaptrazole,lansoprazole
mometasoneparacetamol,mometasone; paracetamol
dose dry powder,0
fluxonade,fluticasone
efucrer 5-flu,fluorouracil
cloecalciferol with calcium carbonate,colecalciferol
amilopidine,amlodipine
midrodine,midodrine
opatinol for hay fever in eyes,opatanol
meal substitute,0
elantin la25,elantan
ramilial,ramipril
futilium d,vitamin d3
vistamethasoneby,vistamethasone
vitamin d3 - cholecalciferol,vitamin d3
citirizene,cetirizine
bendrofluramethiazide,bendroflumethiazide
bendoflusimide,bendbendroflumethiazide
evorel conti hrt,estradiol; norethisterone
omeprozel,omeprazole
cynovit b12,vitamin b12
blephaclean,0
zoplicobe,zopiclone
lanzaprsazole,lansoprazole
oesomepraze,esomeprazole
natacal d3hylo care,natecal
evolve,0
temazapan,temazepam
cicloniside,ciclesonide
dapagifazin,dapagliflozin
6inhaler,0
hayfever,0
rapeprozol,rabeprazole
omepranzle,omeprazole
hayfevertablets,0
beclomisthan,beclometasone
amlopdopeine,amlodipine
22fultium,vitamin d3
ferroess,0
cocodymol,co-codamol
easi breathe,salamol
elemental 028,0
evohaler,salbutamol
cocalciferol,colecalciferol
omneprasole,omeprazole
candersatan,candesartan
evorel oestrogen hrt,estradiol
omnaprazole,omeprazole
orthana,0
oestrodot,estradot
betamethasoneointment,betamethasone
sequential hrt,hrt
tamsolin,tamsulosin
0,0
artovastatin,atorvastatin
calcchew d3,calcichew-d3
atoverstatin,atorvastatin
pregnancy vitamins,neonatal vitamin
candastarten,candesartan
candasartsan,candesartan
irbasatan,irbesartan
fluoxitine 40,fluoxetine
amolodopine,amlodipine
jobst compession stockings,0
normacol granules,sterculia
lanzoprazole.,lanzoprazole
rivaoxiban,rivaroxaban
dispersible asprin,aspirin
dispersibleasprin,aspirin
omaprezol,omeprazole
venflaxine,venlafaxine
steroid muco adhesive,hydrocortisone
isr mononitrate,isosorbide
easyhaler salbutamol,salbutamol
evorel continorethisterone acetate,estradiol; norethisterone
ceyrizine hydrochloride,cetirizine
forflare ups,0
alandrolic acid,alendronic acid
vitamin b12 shots,vitamin b12
fultium-d3 800u,fultium-d3
zeroveen,paraffin
amitriptyne,amitriptyline
avant's,benzalkonium chloride
rag;lisanrasagiline,rasagiline
priadel,lithium carbonate
atorvostain,atorvastatin
atovastin,atorvastatin
levothyroxineomeprazole,levothyroxine; omeprazole
epixmax,0
for pernicious anemia,cobalamin
mitrazapene,mirtazapine
autovastatin,atorvastatin
hrt tiblone,tibolone
hylo night,hyaluronic acid
rampadril,ramipril
irbersartin,irbesartan
dermol shower,0
braitus,tiotropium
amlodophine,amlodipine
evacal d,adcal-d3
canes tan pessaries,canestan
qv wash,0
amilodopine,amlodipine
etezimbe,ezetimibe
dispersible aspirin,aspirin
depalta,duloxetine
oxybutirin,oxybutynin
sabutamal,salbutamol
omniprezole,omeprazole
zolendronic avid infusions,zoledronic acid injection
gapabentin,gabapentin
occasional  naproxin,naproxen
qv gentle wash prescribed,0
ferris fumerate,ferrous fumarate
cicleoniside,ciclesonide
denusomab,denosumab
omezaprol,omeprazole
omiprozole,omeprazole
lercanapidine,lercanidipine
ovar 50,qvar
omoprazil,omeprazol
sabutamolprn,salbutamol
duciltia,duloxetine
cotrimoxicilin,sulphamethoxazole; trimethoprim
amityptyline,amitriptyline
lanzaprol indigestion,lansoprazole
hrt evorel 25,evorel
evorel hrt,estradiol; norethisterone
metajet,methotrexate
respimat,tiotropium
invitation d3,vitamin d3
cocodomol,co-codamol
daktacort,hydrocortisone; miconazole
evorel sequi,estradiol; norethisterone
bendrofluraside,bendroflumethiazide
losasrtan potassium,losartan
clopiderol,clopidogrel
certiririzine,cetirizine
cleni modulite,clenil
aclidium bromide,aclidinium
hyacyst,sodium
flxonasenasal,fluticasone
fenoferadine,fexofenadine
dermacool,menthol
hyabak,hyaluronic acid
fybogel,ispaghula husk
insulinargine lantus,insulin
venaflaxine,venlafaxine
antihesimine,0
lantaprost,latanoprost
felopodine,felodipine
ceterize hydrochloride,cetirizine
monospot,monopost
mitazipine,mirtazapine
galiciazide,gliclazide
ibobrufen,ibuprofen
forestair,fostair
evening primrose,0
hernia meication,0
opramazole,omeprazole
adacal d3,adcal-d3
blue reliever,salbutamol
lanzopranil,lanzoprazole
fexothenadibe hydrochloride,fexofenadine hydrochloride
etraercept,etanercept
pop,0
vera-til sr,verapamil
mycophenalate mofetil,mycophenolate mofetil
beclomethesonr,beclometasone
coloymicin,colistimethate sodium
fultium d3 vit d,vitamin d3
mepomalizumub,mepolizumab
alfuzosi  hydrochloride,alfuzosin
xailin,petrolatum
lotasteride,dutasteride
pantoprazolefel,pantoprazole
mertazipam,mirtazapine
avatorstatin,atorvastatin
depro medrone,depo-medrone
nadobec acqueous,beclometasone
cetallopram,citalopram
coralina h,0
cia is,tadalafil
dtransdermal,0
bisoperol,bisoprolol
hylotear,hyaluronic acid
renovit,vitamin b1; pyridoxine; vitamin b12
forstar,fostair
losatomin,losartan
celeste,tadalafil
evoreloestrogen only,evorel
amatriple,amitriptyline
reflux,0
low dose naltrexone,naltrexone
lanzoprazolr,lansoprazol
fluticadonenasal soray,fluticasone
triptans,sumatriptan
huxd3,vitamin d3
lindaglipton,linagliptin
solatol,sotalol
xala tan,xalatan
100 mc thyroid lexostine,levothyroxine
bendufluoriazide,bendroflumethiazide
lispriniol,lisinopril
hypertronic saline,hypertonic
novarapid insulin,insulin
intolerances,0
metazapine,mirtazapine
fometarol,formoterol
lamitravie,0
hrt,hrt
bisprodol,bisoprolol
glucogel,glucose
fultium,vitamin d3
mometosone fu,mometasone
tamusolin,tamsulosin
rosuvasastatin,rosuvastatin
tab.vitamin d3,colecalciferol
afro a statin,atorvastatin
mirerna coil,mirena
antorvostatin,atorvastatin
ale droning acid -,alendronic acid
ibroprufin,ibuprofen
miniaspirin,aspirin
bisoporol,bisoprolol
glimeplide,glimepiride
did take b12,vitamin
hyalaforte,hyaluronic acid
panteprose,pantoprazole
hydrocychloroquin,hydroxychloroquine
calcichew forte,calcichew-d3
osteocare,calcium carbonate
evolvelubricant,0
perindropil,perindopril
botoxinto interiormuscle,botox
tzanadine,tizanidine
statin atorvastatin,atorvastatin
aymes drinks,0
optrex eyedrops,sodium cromoglicate
quietapine,quetiapine
viteyes 2,lutein
apixipan,apixaban
fecxofendanie,fexofenadine
optive fusion,hyaluronic acid
hylo forte,hyaluronic acid
pazoprasol,pantoprazole
levermire,levemir
hydroxycarbromide,hydroxycarbamide
germiston conti,femoston conti
pravastatinsalbutamol,pravastatin; salbutamol
flecanidr acetate,flecainide acetate
leg support stockings,0
250micrigrams of levothyroxine,levothyroxine
fluticanose,fluticasone
ursonorm,ursodeoxycholic acid
clopidregel 75,clopidogrel
gastro-resistant,0
diltiazam la,diltiazem
mebervine,mebeverine
ale fro iv acid,alendronic acid
ticaderor,ticagrelor
roaccutain,roaccutane
alphacodicol,0
artovastin,atorvastatin
nebuliser,nebulised
roprinole,ropinirole
hrt- evorel conti,evorel
ibprufen,ibuprofen
omopramazol,omeprazol
intravenous infusion at metabolic bone centre,0
glucamide inform,glucamide
vitamin b strong,vitamin b12
contraception,hrt
pramipole,pramipexole
omerapzole,omeprazole
darpoetin alfa,darbepoetin alfa
proyponal,propranolol
beconasespray,beclometasone
ensure plus liquid feed,0
adcal-d3 caplets,adcal-d3
vitiman d,vitamin d
triseba,tresiba
alendrotnic acid aci,alendronic
zoplicone,zopiclone
optamol,timolol
amitrytiline,amitriptyline
ceterizine antihistamine,cetirizine
112 fultium-d3 800u,vitamin d3
ducosate,docusate
simsimvastatinstine,simvastatin
lanzaprazole,lanzaprsazole
cardestain,candesartan
finastereride,finasteride
amaproazaloe,omeprazole
salbutomol easyhaler,salbutamol
beclamehazone,beclometasone
hylo- tear,hyaluronic acid
risondronate sodium,risedronate sodium
"easi-breathe, preventative",salbutamol
losaeran,losartan
hrt- evorel 50,evorel
contraceptive,hrt
hrt estrodot 50,estradot
ppi,ppi
corticosteroid,0
amitrtyline,amitriptyline
levothyroxinomeprazole,levothyroxine; omeprazole
betahistamine,betahistine
atorvastin,atorvastatin
amloplodine,amlodipine
bispropolol,bisoprolol
adcal-d3 chewable tablets-,adcal-d3
ibrophen,ibuprofen
dozasonsin,doxazosin
gts,0
hrt evorel 50,evorel
hux d3,vitamin d3
muco-adhesive buccal,hydrocortisone
adcal d3 caplets,adcal-d3
estrogen pessaries,estrogen
hormone replacement therapy oestrogen,hrt
norityptyline,nortriptyline
lansaporozole,lanzoprazole
cliches d3 forte,adcal
quitipine,quetiapine
becomenasal,beclometasone
omerprezol,omeprazole
amplodopine,amlodipine
sacubritil and valsartan,sacubitril
prostasan saw palmetto,0
ical-d3,theical-d3
glimepiridesimvasfati,glimepiride; simvastatin
chenille modulite,clenil
nebulised salbutomal,salbutamol
replens md vaginal moisturiser,polycarbophil
omerperezerole,omeprazole
evcal d3,adcal
montekulaste,montelukast
atorovastin,atorvastatin
cyanacoblamin,cyanocobalamin
avyms steroid,avamys
fluoxatinesp,fluoxetine
glycel trinitate,glyceryl trinitrate
estrodole,estradiol
lanzoprazole prn,lansoprazole
cetracine,cetirizine
azrothyaprine,azathioprine
serretide 250 acculhaler,seretide
ferrour sulfate,ferrous sulfate
red and white,0
lisibipril,lisinopril
filgastrim,filgrastim
renew,0
germoloids,zinc oxide
symbology 200,0
hydroxychloroquinine,hydroxychloroquine
astrovastatin,atorvastatin
femseven,estradiol
anthistamine,0
ellesto solo,elleste
salamamol,salamol
folpik,felodipine
dispersable asprin,aspirin
metronazidole,metronidazole
nova rapid,insulin
chenil modulite,clenil
macu-save,lutein
sanatogen a-z,multivitamin
proponanalol,propranolol
diazipan,diazepam
orabase,benzocaine
steroid,corticosteroids
nasobec,beclometasone
anti-psychotic,0
paroxitene,paroxetine
hay fever,0
esteroil,estriol
vitamin d and calcium,adcal-d3
lymeceline,lymecycline
avorostatin,atorvastatin
evacal d3,vitamin d3
ellesse solo hrt,elleste
lodoz = bisoprolol + hydrochlorothiazide,bisoprolol; chlorothiazide
degesterol,desogestrel
amlopodine,amlodipine
pravastin,pravastatin
canderstan,candesartan
50,0
micronised progesterone,progesterone
menthoderm,levomenthol
sambutol,0
clinitas,carbomer
centrum advance 50*,multivitamin
umeclidium,umeclidinium
calchichew,calcichew
levothryroxineid,levothyroxine
pregabslinl,pregabalin
flexofanadine,fexofenadine
blue,0
beclometetasone,beclometasone
liskonum,lithium carbonate
candestartin,candesartan
evolve carmellose,carmellose 
avorstatin,atorvastatin
bisoprotol  1.25,bisoprolol tablets
amitipyline,amitriptyline
solpadeine max,zolpidem
octenisan wash,0
hrtevorel conti,evorel
dose evohaler,evohaler
gtn,glyceryl trinitrate
amolipidine,amlodipine
"fultium-d3, 20,",fultium-d3
fultium d,vitamin d3
ezetimbile,ezetimibe
candesartin cilexetil,candesartan
andopoline,amlodipine
amidopiline,amlodipine
evolve hypermellose,0
anytriptelene,amitriptyline
allergymist,0
everol hrt medication,evorel
xailin night,paraffin
osteocaps,calcium carbonate
hrt everol,evorel
omaprezole,omeprazole
devilbiss,0
vitamin b12,vitamin b12
solinefacin,solifenacin
empaglozin,empagliflozin
calcepoyriol,calcipotriol
praxada,dabigatran
predisalone,prednisolone
vedoluzimab,vedolizumab
azitromyen,azithromycin
candestartian,candesartan
marina coill,hrt
hydroxycycobalamine,hydroxocobalamin
amlopidine,amlodipine
ovestincream,ovestin
fludecourtisone,fludrocortisone
biasprol,bisoprolol
sumitryptan as necessary,sumatriptan
elleste duet,estradiol; progesterone
betahistinex 3-,betahistine
symbocal,sambucol
atorvaststatatin,atorvastatin
silfenadil,sildenafil
