answer,correction
codydramol,co-dydramol
calchichew,calcichew
colorfac,colofac
clopridogrel,clopidogrel
fluoexetine,fluoxetine
mometasonefuroate,mometasone furoate
metformim,metformin
xylatan,xalatan
lacidioine,lacidipine
demopressin,desmopressin
leterozole,letrozole
levothytoxine,levothyroxine
fixtapost,fixapost
spirulena,spirulina
siptagliptine,sitagliptine
xapain,zapain
pitzotifen,pizotifen
mometosome,mometosone
proxac,prozac
citolopram,citalopram
salbutinol,salbutimol
lipitot,lipitor
cotrimoxazole,co trimoxazole
citalogram,citalopram
folicacid,folic acid
morphone,morphine
mometesome,mometesone
lansoperazole,lansoprazole
pregabilin,pregabalin
omeprrazole,omeprazole
pregabakin,pregabalin
epoetin,epoetina
omeprezole,omeprazole
letrezole,letrozole
silenafil,sildenafil
hydrocychloroquin,hydroxychloroquin
carbocistrine,carbocisteine
estadot,estradot
doxasoxin,doxasosin
azanthiprine,azathiprine
linaliptin,linagliptin
bisoprool,bisoprolol
lisibipril,lisinipril
sabutomal,salbutomal
sulpasalazine,sulfasalazine
losotan,losatan
zelletta,zelleta
amitrtyline,amitrptyline
anastozole,anastrozole
cytalopram,citalopram
duloxatine,duloxetine
statins,statis
hydroychloroquine,hydroxychloroquine
epixaban,apixaban
avrostatin,arostatin
amytripiline,amytriptiline
bendrflumethiszide,bendrflumethiazide
cocodomol,co codomol
ivarbadine,ivabradine
trazadone,trazodone
letroxole,letrozole
codiene,codeine
atorvatatin,atorvastatin
nitrofuration,nitrofurantion
spiroalactone,spironalactone
lipitar,lipitor
docetaxol,docetaxel
bisprodol,bisprolol
zolmig,zomig
zapaine,zapain
omeprazolee,omeprazole
atovostatin,atorvostatin
omrprazole,omeprazole
omoprazole,omeprazole
bisopropol,bisoprolol
ceterizine,cetirizine
zaicin,zacin
amitiptylene,amitriptylene
statin,statis
sinvastatin,simvastatin
consentyx,cosentyx
spirva,spiriva
amlodi,amlod
fluoxitine,fluoxetine
lostartin,losartin
spirivs,spiriva
caneston,canesten
fluitiform,flutiform
septrin,separin
fostair100,fostair 100
pravasratine,pravastatine
levothyroxene,levothyroxine
calicos,callicos
forticreme,corticreme
amlodipihe,amlodipine
dulcalax,dulcolax
montelucast,montelukast
venlaflaxine,venlafaxine
letrazole,letrozole
destrogel,estrogel
naproxed,naproxen
nebivolo,nebivolol
sirdulpa,sirdupla
nasonec,nasonex
tiotroplum,tiotropium
amlodiopine,amlodipine
omeptazole,omeprazole
monteluckast,montelukast
lansoprazile,lansoprazole
lansoprasole,lansoprazole
dhydrocodeine,dihydrocodeine
adderal,adderall
omerazole,omeprazole
multivitamina,multivitamin
losatin,losatan
hyrdrochlorothiazide,hydrochlorothiazide
truspot,trusopt
foster,fostex
omiprazole,omeprazole
beclamehazone,beclamethazone
amitriptylinr,amitriptyline
fenbuxostat,febuxostat
sabutemol,salbutemol
dermol,dermal
amnlodipine,amlodipine
ventolyn,ventolin
estrodial,oestrodial
bisoprol,bisoprlol
lansoprazolee,lansoprazole
lansiprazole,lansoprazole
bendroflumzide,bendrofluazide
levothyrocine,levothyroxine
fluticsone,fluticasone
carbociseine,carbocisteine
gadapentine,gabapentine
amylodipine,amlodipine
simvastain,simvastatin
amatripiline,amatriptline
doxacocin,doxazocin
estoril,restoril
raberazole,rabeprazole
metazapine,mertazapine
lostartan,losartan
lansosprazole,lansoprazole
amlodipiine,amlodipine
temazapan,temazapam
simvastatiin,simvastatin
citalipram,citalopram
adcal-d,adcal-d3
venloflaxine,venlofaxine
oxybutirin,oxybutinin
angital,angitil
paroxatine,paroxetine
colecalcferol,colecalciferol
monteluksat,montelukast
co_codamol,co-codamol
canaglifozin,canagliflozin
adcald3,adcal-d3
noresthisterone,norethisterone
flucticasone,fluticasone
oestrodot,estrodot
chlorpidogrel,chlopidogrel
nono,nano
quetapine,quetiapine
penecillin,penicillin
levethyroxine,levothyroxine
lispinopril,lisinopril
hydroxocolbalamin,hydroxocobalamin
clopigogrel,clopidogrel
sabutmol,salbutmol
oxyal,oxal
betamthasone,betamethasone
omepeazole,omeprazole
lansoparazole,lansoprazole
lymecyline,lymecycline
tramodol,tramsdol
amlodipime,amlodipine
velefaxine,venlefaxine
nendroflumethiazide,bendroflumethiazide
perindopil,perindopril
dihydrocodiene,dihydrocodeine
fluoextine,fluoxetine
predinisolone,prednisolone
doxadosin,doxazosin
methalcarbamol,methacarbamol
raloxifine,raloxifene
amitrytiline,amitryptiline
amytripyline,amytriptyline
emagliflozin,empagliflozin
irbestartan,irbesartan
simvastati,simvastatin
amlodidine,amlodipine
atorvaststin,atorvastatin
jardience,jardiance
tebutaline,terbutaline
pomit,pomist
fluctiform,flutiform
allocan,allacan
clindamycim,clindamycin
benrofluazide,bendrofluazide
irbersartan,irbesartan
zapin,zapain
diuretic,duretic
galfer,golfer
atosvastatin,atorvastatin
levythyroxine,levothyroxine
amlodopin,amlodipin
sidenafil,sildenafil
paroxetene,paroxetine
paracetamon,paracetamol
irbersartin,irbesartin
colrcalciferol,colecalciferol
fosair,fostair
symvastatin,simvastatin
nitrofuratoin,nitrofurantoin
chlorohenamine,chlorphenamine
calcios,calceos
losattin,losartin
lisiniplil,lisinipril
duloxitine,duloxetine
leavothyroxine,levothyroxine
leveothyroxine,levothyroxine
sumatriptans,sumatriptan
atorostatin,atorvostatin
antenolol,atenolol
piriteeze,piriteze
tadanafil,tadalafil
antorvostatin,atorvostatin
meformin,metformin
levothyroxinr,levothyroxine
omeprezol,omeprazol
zolodex,zoladex
bisoprplol,bisoprolol
levermir,levemir
doxycylcine,doxycycline
subutamol,sulbutamol
astrovastatin,atrovastatin
candestartan,candesartan
venlafaxime,venlafaxine
paracethamol,paracetamol
hydroxychoroquine,hydroxychloroquine
perinderpril,perindepril
pill,mill
amityptaline,amitryptaline
foxiga,forxiga
luxido,laxido
sabutomol,salbutomol
atlenol,atenol
letrosole,letrozole
methanamine,methenamine
gilclazide,gliclazide
methortrexate,methotrexate
cyanocbalamin,cyanocobalamin
opmeprazole,omeprazole
paracetamols,paracetamol
esterol,gesterol
agorvastatin,atorvastatin
provasatin,provastatin
rivatoxiban,rivaroxiban
glickazide,gliclazide
certirizine,cetirizine
presnisolone,prednisolone
cerezette,cerazette
bendroflurazide,bendrofluazide
azirhromycin,azithromycin
indapamine,indapamide
neurofen,nurofen
omneprazole,omeprazole
amiltriptyline,amitriptyline
simvatatin,simvastatin
beclometasome,beclometasone
bisoptolol,bisoprolol
oesomeprazole,esomeprazole
talalafil,tadalafil
cyanobalamin,cyancobalamin
wafarin,warfarin
biscoprolol,bisoprolol
desogsestrel,desogestrel
oesteogel,oestrogel
ceclometasone,beclometasone
empaglifozin,empagliflozin
azithryomycin,azithromycin
mometasonr,mometasone
colecaliferol,colecalciferol
topirimate,topiramate
opeprazole,omeprazole
promithazine,promethazine
lacosazmide,lacosamide
tamulosin,tamsulosin
bedroflumethiazide,bendroflumethiazide
omeprozole,omeprazole
sertralilne,sertraline
fluoxatine,fluoxetine
omeperazole,omeprazole
utrogesan,utrogestan
simvstatin,simvastatin
subutimol,sulbutimol
amitripyline,amitriptyline
lonsoprazole,lansoprazole
diazipam,diazepam
candesatan,candesartan
betahisine,betahistine
beciometasone,beclometasone
motelukast,montelukast
depo,denpo
cetirezine,cetirizine
omeprazale,omeprazole
naftidrofury,naftidrofuryl
apixipan,apixiban
atorstatin,atorvstatin
forstair,fostair
venefaxine,venlefaxine
spironolacone,spironolactone
diltiezem,diltiazem
symicort,simicort
amyltriptoline,amytriptoline
atorvatstatin,atorvastatin
arorvastatin,atorvastatin
esomeorazole,esomeprazole
alphacalcadol,alphacalcidol
montelukaste,montelukast
hydocortisone,hydrocortisone
amlopodine,amplopodine
levothyrloxine,levothyroxine
sprironolactone,spironolactone
tumeric,turmeric
almoyriptan,almotriptan
arenolol,atenolol
mirabegnon,mirabegron
fybogel,fybrogel
simvistatin,simvastatin
spirava,spiriva
roprinirole,ropinirole
lansoprezole,lansoprazole
rasagaline,rasagiline
vitamins,vitamine
amyltriptolene,amytriptolene
prednislone,prednisolone
zalatan,xalatan
atorastatin,atorvastatin
hydroxycarbromide,hydroxycarbomide
inpapamide,indapamide
ultrogestan,utrogestan
amlodiplne,amlodipine
colecalcciferol,colecalciferol
lansoprazoie,lansoprazole
rivaoxaban,rivaroxaban
omeprazolo,omeprazole
paroxitine,paroxetine
atavastatin,atarvastatin
amilodipine,amlodipine
omeprazal,omeprazol
lantanoprost,latanoprost
lansoprazolen,lansoprazole
zolair,xolair
promethizine,promethazine
perfenidone,pirfenidone
apikiban,apixiban
adal-d3,adcal-d3
levothryroxin,levothyroxin
amplidine,aplidine
felopipine,felodipine
bitatoprost,bimatoprost
sheriproct,scheriproct
esomeprazolr,esomeprazole
desoratadine,desloratadine
fluxetine,fluoxetine
meloxican,meloxicam
eplerenome,eplerenone
cetirizone,cetirizine
amliodipine,amlodipine
reszolsta,rezolsta
pregablin,pre gablin
beclometastone,beclometasone
duloxeteine,duloxetine
candestartin,candesartin
fultium-d,fultium-d3
asocol,asacol
venaflaxine,venalfaxine
amityptyline,amitryptyline
rizatriptian,rizatriptan
certrazine,certraline
promethszine,promethazine
clennil,clenil
terazozin,terazosin
ezetarol,ezetrol
privera,provera
setralin,sertralin
lansolprazole,lansoprazole
gapapentin,gabapentin
oomeprazole,omeprazole
diazepom,diazepam
sertaline,sertraline
altorvastatin,atorvastatin
oxytertracycline,oxytetracycline
dousate,docusate
szlbutamol,salbutamol
citalpram,citalopram
laevothyroxine,levothyroxine
prenisolone,prednisolone
omeprzole,omeprazole
finateride,finasteride
diazapam,diazepam
amoxaline,amoxapine
cervelle,cerelle
disopyamide,disopyramide
sukarto,sukkarto
simvostatin,simvastatin
cerazzette,cerazette
cocodamol,co-codamol
citralopram,citalopram
simvustatin,simvastatin
ustrogestan,utrogestan
certrizine,cetrizine
zopliclone,zopiclone
fluoroucracil,fluorouracil
lanzoprazol,lansoprazol
cocalciferol,colcalciferol
amamys,avamys
meberverine,mebeverine
amlodihine,amlodipine
dutasreride,dutasteride
amlodopine,amlodipine
ramiplril,ramipril
bisoprosol,bisoprolol
prednisolne,prednisolone
enzetimibe,ezetimibe
imeprazole,omeprazole
lorsatan,losatan
aspririn,aspirin
dulagutide,dulaglutide
amolodipine,amlodipine
desired,desirel
beconaise,beconase
rosuvasatin,rosuvastatin
beclomestasone,beclometasone
hydrocortison,hydrocortisone
candistartin,candistatin
colchocine,colchicine
cadesartan,candesartan
alfacalcdol,alfacalcidol
duorespspiromax,duoresp spiromax
omeprasol,omeprazol
tibalone,tibolone
nifedeprine,nifedepine
azathiopine,azathioprine
predisolone,prednisolone
gederel,gedarel
lisinoplril,lisinopril
tamsulosim,tamsulosin
levothyoxine,levothyroxine
sspirin,aspirin
omepprazole,omeprazole
lansopraxole,lansoprazole
frostair,fostair
simvastin,sivastin
bisopriol,bisoprlol
prednisilone,prednisolone
pravasatin,pravastatin
temisartan,telmisartan
fapagliflozin,dapagliflozin
eetimibe,ezetimibe
simvastation,simvastatin
proprananol,propranalol
omeproazole,omeprazole
bumetsnide,bumetanide
bendroflumethazine,bendroflumethazide
cetiritzine,cetirizine
amlodapine,amlodipine
montelukastt,montelukast
linaglitin,linagliptin
adacal-d3,adcal-d3
levothryoxine,levothyroxine
monetasone,mometasone
omaprazole,omeprazole
lansprazole,lansoprazole
esomerprazole,esomeprazole
amtrypliline,amtryptiline
beconaze,beconase
citaloprim,citalopram
testoserone,testosterone
pentassa,pentasa
montlukast,montelukast
gliclszide,gliclazide
calcos,calceos
ctalopram,citalopram
levithyroxin,levothyroxin
buscapan,buscopan
amiodipine,amlodipine
spivriva,spiriva
citirizine,cetirizine
atorvostain,atorvostatin
atotvastatin,atorvastatin
spiromax,spirolax
arvostatin,arostatin
isbesartan,irbesartan
duloxetin,duloxetine
simvastatln,simvastatin
tamsulodin,tamsulosin
tramidol,tramsdol
bendroflumethiszide,bendroflumethiazide
lansoprozol,lansoprazol
levthyroxine,levothyroxine
prochiorperazine,prochlorperazine
atovastatin,atorvastatin
estradil,estradiol
bisoprorlol,bisoprolol
finastreride,finasteride
zolpadem,zolpidem
amatadine,amantadine
bisoprazol,bisopralol
cialopram,citalopram
atorvastartin,atorvastatin
antorvastatin,atorvastatin
simvatstatin,simvastatin
amitriptyne,amitriptlyne
fexonfenadine,fexofenadine
ranitidie,ranitidine
celebcoxib,celecoxib
triletal,trileptal
citrizine,cetrizine
epimax,cepimax
gabbapenting,gabbapentin
fluxonade,fluxonase
diffunfox,diffundox
artovastatin,atrovastatin
bendranol,bedranol
codine,codeine
hylo-tear,hylo-tears
levothyrixin,levothyroxin
luccette,lucette
cabimazole,carbimazole
becanase,beconase
lecanidipine,lercanidipine
valporate,valproate
alburterol,albuterol
mitrazapine,mirtazapine
marol,matol
omeprazola,omeprazole
simvatin,sivatin
aspirn,aspir
lanzoprazole,lansoprazole
simvaststin,simvastatin
fluoxetene,fluoxetine
lansoprasol,lansoprazol
pregabaline,pregabalin
methrotrexate,methotrexate
amlodipene,amlodipine
rinetec,rinatec
amplodipine,amlodipine
prednisolene,prednisolone
metroprolol,metoprolol
duloextine,duloxetine
ezeterol,ezetrol
hydroxyxhloroquine,hydroxychloroquine
tibilone,tibolone
simvasatin,simvastatin
hydroxychloquine,hydroxychlorquine
bumetamide,bumetanide
monteleukast,montelukast
lansaprazole,lansoprazole
bendroflumerhiazide,bendroflumethiazide
doxatosin,doxazosin
ceracette,cerazette
antihistamines,antihistamine
lipotor,lipitor
trimethorim,trimethoprim
clopidogfel,clopidogrel
clopidoerol,clopidogrol
perindropril,perindopril
montelulast,montelukast
votarol,voltarol
adalidmumab,adalimumab
lansopranzole,lansoprazole
pregabulin,pregabalin
lansoptazole,lansoprazole
rosuvaststin,rosuvastatin
hydrocotisone,hydrocortisone
desloatadine,desloratadine
zopiçlone,zopiclone
mirtatapine,mirtazapine
propanadol,propanalol
omperazole,omeprazole
toperamate,topiramate
montelukadt,montelukast
lipitol,lipitor
alfacacidol,alfacalcidol
zolpiderm,zolpidem
anatriptylene,amatriptylene
fluoxetaine,fluoxetine
lamotigine,lamotrigine
salmutomol,salbutomol
forveval,forceval
gliciazide,gliclazide
oestrogen,oestrogel
venlafazine,venlafaxine
irbesatan,irbesartan
candastarten,candasarten
bisoproiol,bisoprolol
peridopril,perindopril
cetirizene,cetirizine
leviothyroxine,levothyroxine
bisoprodol,bisoprolol
forcival,forceval
ventlolin,ventolin
aspiren,aspirin
prednisalone,prednisolone
humera,hemera
accrete3,accrete
simvastatins,simvastatin
jardinance,jardiance
citalophram,citalopram
levithyroxine,levothyroxine
bendroflumerthiazide,bendroflumethiazide
bitmataprost,bimataprost
singular,singulair
sinemets,sinemet
calichew-d3,calcichew-d3
salmetrol,salmeterol
norethistherone,norethisterone
amlopdipine,amlodipine
amelopodine,amplopodine
bendroflumazide,bendrofluazide
hydrocortisne,hydrocortisone
bendroflumenthiazide,bendroflumethiazide
asperin,asprin
ventalin,ventolin
lansoprazle,lansoprazole
glicizide,gliclizide
diazepan,diazepam
penicilin,penicillin
cocodymol,co-codymol
bispopralol,bisopralol
buscopam,buscopan
amistriptyline,amitriptyline
ibruprofen,ibuprofen
simvarstatin,simvastatin
utrogetstan,utrogestan
ventilin,ventolin
glicazide,gliclazide
sabutimol,salbutimol
hydrocortizone,hydrocortisone
omprazole,omeprazole
amlodipinr,amlodipine
mirzapine,mirtzapine
esperion,esperson
atoravasatin,atoravastatin
pregabolin,pregabalin
lorsartan,losartan
omeprozol,omeprazol
omerprazole,omeprazole
omeperazol,omeprazol
rampadril,ramparil
methotexate,methotrexate
clenhil,clenil
amilopodine,amplopodine
hydroycloroquine,hydroxycloroquine
fluox,flurox
quetiepine,quetiapine
digioxin,digoxin
amitripline,amitriptline
propananol,propanalol
clopidrogrel,clopidogrel
duospiromax,duo spiromax
amlodepine,amlodipine
azaga,azarga
bisoproloi,bisoprolol
canagliflozi,canagliflozin
citalopran,citalopram
levothyroxibe,levothyroxine
octasia,octasa
amitiptyline,amitriptyline
alorvastatin,atorvastatin
omeprasole,omeprazole
diahydrocodeine,dihydrocodeine
liptor,lipitor
omerrazole,omeprazole
sabutamol,salbutamol
calceous,calceos
hipprex,hiprex
dulixetine,duloxetine
bendrofluramethiazide,bendrofluamethiazide
cyanocobalomin,cyanocobalamin
omperazol,omeprazol
omeparzole,omeprazole
tacrolinus,tacrolimus
steroid,steroids
exetimibe,ezetimibe
steroid injections,0
anti depressants - escatalapram?,0
birmatropost,0
pregnancy vitamins,0
anytriptelene,0
amertriptaline,0
steroid nasal spray,0
amolipidine,0
lisinopr,0
solpadeine plus caps,0
symbology 200,0
evcal d3,0
reflux tablet,0
candersatan,0
clopiderol 75mg,0
alandrolic acid,0
elleste  duet 2mg tablets,0
avorstatin,0
ant-histamines,0
levothiroxine 75 micro gram,0
tenofovira alafenamide,0
easyhaler beclometasone,0
degesterol,0
oestrogen pump-pack gel 0.06%,0
ursoacid,0
etezimbe,0
clinitas eye drops,0
mycophenalate mofetil,0
thealoz duo,0
statin 10mg,0
combined contraceptive pill,0
150mg thyroxine,0
fluoxatine nasal sp,0
occasional diazepam 2mg,0
vitamin c & zinc,0
lanzaprazol,0
"huxd3 20,000 iu colecalciferol",0
lamatrotine,0
b12,0
venuvlaxine,0
venlaxifine,0
rizatritain,0
statins 40 mg,0
filgastrim,0
exetibe,0
leitrazole,0
elemental 028,0
unknown-part of amedical study,0
evorel patch,0
dapagifazin,0
vitamin b12 injection,0
meal substitute,0
diazepine,0
antiestamin,0
laprazol,0
anastresrozole,0
monospot,0
budenoside,0
humelin pen,0
ticaderor,0
ferrour sulfate,0
lanzopranole,0
optive plus drops,0
estrogen pessaries,0
hrt patch,0
miranova,0
omperozole,0
titotropium bromide,0
omprazamole,0
atoverstatin  40mg,0
elleste solo 40,0
ketofall eye drops,0
spiromax inhaler,0
alfuzosi  hydrochloride,0
turbo inhaler,0
amphlodineq,0
permixon,0
fexofenidine tabs,0
omopramazol,0
ical-d3,0
amaproazaloe,0
aldronic acid,0
xailin night ointment,0
statin 20 mg,0
prostate pill,0
30mg lansoprazole,0
braltus inhaler,0
aquarius cream,0
bendrofluraside,0
contraceptive implant,0
inhaler brown,0
evorel conti,0
epimax original cream,0
hrt  tablets,0
tab.vitamin d3,0
mrtformin500mg,0
clopidogerel 75mg,0
cardestain,0
dispersible aspirin,0
ipyradamole,0
simvastim,0
disperserble asprin,0
bendromethiazide,0
brufonorphine patches,0
mariosea,0
lansaporozole,0
400microgram tamsulosin,0
ibpprofen as needed,0
clenilmodulite 100 micro,0
hrt patches conti,0
zolendronic avid infusions,0
stomach tablet,0
vitamin b injection,0
montilucust,0
avimis nose spray when required,0
huxd3,0
bisoproiol 5mg,0
hydroxychloriquinine,0
ale fro iv acid,0
adcal - d3,0
xala tan,0
salivix dry mouth pastilles,0
simavastin,0
amatriple,0
respirimat,0
metazapan,0
calcitropol,0
adcal d3 tablets,0
statin atorvastatin,0
epaderm cream,0
flecanidr acetate,0
dapagliclizide,0
lefra,0
e45 cream,0
cleni modulite,0
omnaprazole,0
hyabak eye drops,0
levothryroxineid,0
omepranzle,0
omezaprole,0
macushield,0
cyanacoblamin,0
hay fever tablets,0
garfort eye drops,0
lanzoprosal,0
bit d,0
circlosporin eye drops,0
evorel patches,0
bratius,0
inhalers,0
zerobase 11%,0
cicleoniside,0
sanatogen 50+,0
fybojel,0
fultium vitamin d,0
menthoderm,0
letzatrole,0
montekulaste,0
bendroflumthlizide,0
toximuzub,0
dispersible aspirin 75mg,0
glimepiridesimvasfati,0
lotradine,0
lorstatin 50mg 1 daily,0
hylofresh,0
turobine inhaler,0
norityptyline,0
antihesimine,0
zerobase crean,0
omaprezol,0
sterimar nasal wash,0
forstair 100,0
fostair100mg,0
fultium-d3 800units,0
simsimvastatinstine,0
apicabsn,0
ceterize hydrochloride,0
apoya 30mg,0
amirtiptylin 10mg,0
pravastatinsalbutamol,0
fludecourtisone,0
bp1,0
amlopidine,0
hypertronic saline inhaler,0
bendrofumethiazode,0
doxicozin,0
implant,0
fultium capsules,0
nadobec acqueous,0
xailin night eye ointment,0
opemprazole,0
xailin,0
mebeverin mr,0
mebervarine,0
opremazole,0
calcichew 500 mg,0
cloecalciferol with calcium carbonate,0
adcal-d3 caplets 750mg,0
letrasol,0
prod3,0
andopline,0
hrt evorel patch 25mg,0
anti coag,0
elleste solo patch,0
fultium d3,0
xylin night,0
osteocare,0
zolendronic acid,0
omneprasole / ranitidine,0
ibprufen,0
evolve,0
fenofexidine,0
priadel lithium carbonate,0
risondrate,0
calcichew-d3 1 twice a day,0
thealoz duo eye drops,0
perindropil,0
ampdopoline,0
azrothyaprine,0
floxitine,0
lansporasole,0
astorvastin,0
homeopathic digitalis,0
steroidnasal spray,0
bisoprol fumerate,0
duplimbab injection,0
dactacourt,0
evorel sequi patches,0
androfem,0
vis med eye drops,0
bendruflomaside,0
omiprozole,0
fluxotine,0
evorel 25 patches,0
ical d3,0
bondulc eye drops,0
orthana,0
ibrophen,0
"vitamin d, due to insufficiency",0
hrt patches evorel conti,0
adcal 3,0
omezaprol,0
xalatan50mg,0
did take b12 injections,0
zirtex 1 daily seasonal,0
sulfasasaline,0
adcal vit d,0
vitamin d supkement,0
algesal cream,0
gastro-resistant,0
xailin eye ointment,0
occipital nerve block,0
inhaler,0
hylotear 0.1% eye drops,0
hrt patches,0
lanzoprezole,0
toprimarate,0
contraception,0
setalipram,0
astovastatin,0
mitazapine 30mg,0
theoloz duo eye drops,0
clinitas carnomer,0
meberverine  200mcg,0
omniprezole,0
candestan,0
hyrocortisone ointment,0
venkafaxine75mg daily,0
multibionta,0
beclometetasone,0
advasal,0
vitamin d tablets,0
coproxamol,0
evorel conte,0
hemp oil,0
omperszole,0
birth control,0
felopodine,0
acidophilis,0
dietary salt,0
montekulast,0
cocoadamol,0
chenil modulite,0
dapaglifoizin,0
elleste duet,0
evolve carmellose,0
amittrtyline,0
audomal 120 per day,0
dispersible aspirin 75 mg,0
theical,0
mutli vits,0
adcal-d3 caplets,0
zeroveen cream,0
glycel trinitate spray,0
lamaprozole,0
uromune vacine,0
doublebase,0
spironalcolade,0
fenoferadine,0
evolve eye lubricant,0
sulphursalazine,0
moodease,0
lansorparol,0
cocadomol,0
leufonomide,0
dispersable asprin 75mg x 1 daily,0
calcchew d3,0
hydrogenated mofetil,0
elantin la25,0
17b oestradiol,0
1000mg omacor,0
esteroil,0
evolve hypermellose,0
xailin hydrate eye drops,0
rosuvastin,0
bendufluoriazide,0
alendrotnic acid aci,0
amplodamine,0
vitamin b strong,0
propylthioura,0
aminodipine,0
citizen,0
tamsolin,0
amiodipine 5mg,0
chenille modulite,0
hormone replacement therapy,0
isosobide mononitrat,0
progynova,0
gtn spray,0
lacrilub eye ontiment,0
citirizene,0
ldn,0
lythothyroxine,0
slit allergy therapy,0
calcichew forte,0
triseba,0
amlodophine,0
evoril conti patch,0
mesavancol,0
canaflagozin,0
amitipyline,0
steroid muco adhesive,0
nitromin spray,0
amlodioine 5mg,0
natacal d3hylo care eye drops,0
sequential hrt,0
amythryptaline,0
ferris fumerate,0
fluroxatine,0
thiroyd,0
xailin night,0
cetitizine 10mg,0
betamethasoneointment,0
omesoprazole,0
40mg simvastatin,0
lofric sense catheters,0
subutmal,0
renavit tablets,0
chenil modulute,0
theical..d3,0
pazoprasol,0
oestrogen 1mg,0
anlodopine,0
losatomin,0
ensure plus liquid feed,0
ranozalrne 500 twice daily,0
evening promise,0
250 mg naproxen,0
venalfaxaline,0
oxtetracycline 250 mg,0
tamuslin,0
oesomepraze,0
hylo tear,0
becinometasone dipropionate,0
hydroxyclorine,0
evecal,0
salamamol,0
lansopresole,0
ale droning acid -70mg weekly,0
vitamin b12 im  3 monthly,0
hrt implant,0
atovastin,0
demunusab,0
elecon scalp[ lotion,0
lorsartan 100mg,0
amilodopine,0
nebuliser,0
salbutomol easyhaler,0
0,0
dermol 200 shower emollient,0
fometarol,0
levermire,0
nefefidine,0
alfacalcodol 500 nanogram,0
micronised progesterone,0
atorovastin,0
ramilial 10mg,0
diazipam if needed,0
tadalafalil,0
ivax salamol salbutamol,0
evacal,0
clinitas carbomer,0
rosex cream,0
nasobec aqueous 50 micrograms,0
easyhaler salbutamol sulfate,0
omoprozol,0
astrstatin,0
avant's nasal spray,0
claratyn 10mg,0
avatorstatin,0
